<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.02.06	20925.5	20959.3	20817.7	20873.8	12924	0	0
2019.02.07	20837.7	20903.8	20451.9	20538.3	25361	0	0
2019.02.08	20535.7	20545.8	20171.4	20342.8	23504	0	0
2019.02.11	20334.5	20486.8	20211.9	20441.6	14059	0	0
2019.02.12	20429.1	20971.6	20396.6	20941.5	17870	0	0
2019.02.13	20918.9	21201.5	20906.4	21121.1	18036	0	0
2019.02.14	21113.6	21246.0	20945.8	20980.7	28692	0	0
2019.02.15	20968.2	21245.4	20824.4	21230.4	25968	0	0
2019.02.18	21237.0	21329.6	21178.3	21244.2	12062	0	0
2019.02.19	21231.6	21398.8	21202.8	21313.8	16685	0	0
2019.02.20	21304.9	21478.8	21293.7	21408.4	21043	0	0
2019.02.21	21405.9	21545.4	21298.3	21343.0	25052	0	0
2019.02.22	21326.8	21492.8	21314.3	21442.6	15304	0	0
2019.02.25	21499.2	21626.5	21441.7	21561.4	16507	0	0
2019.02.26	21553.8	21611.3	21376.2	21525.9	17608	0	0
2019.02.27	21508.4	21599.2	21450.7	21570.5	10672	0	0
2019.02.28	21548.0	21570.5	21285.3	21455.1	17919	0	0
2019.03.01	21442.6	21770.9	21440.1	21759.7	15290	0	0
2019.03.04	21811.4	21863.8	21597.2	21668.5	18946	0	0
2019.03.05	21672.3	21833.1	21653.4	21691.2	19512	0	0
2019.03.06	21678.6	21701.2	21528.5	21533.6	15000	0	0
2019.03.07	21510.8	21538.4	21194.9	21265.0	22842	0	0
2019.03.08	21257.4	21320.3	20820.8	21097.2	25059	0	0
2019.03.11	21051.4	21329.3	20917.7	21324.2	17494	0	0
2019.03.12	21321.7	21555.4	21319.1	21408.2	17254	0	0
2019.03.13	21395.6	21502.7	21151.1	21492.2	17081	0	0
2019.03.14	21494.7	21522.4	21258.4	21319.5	18963	0	0
2019.03.15	21306.9	21535.5	21306.9	21504.1	15741	0	0
2019.03.18	21488.3	21612.7	21470.6	21559.7	12448	0	0
2019.03.19	21567.3	21654.1	21403.5	21553.2	19315	0	0
2019.03.20	21550.6	21622.8	21385.5	21395.5	23224	0	0
2019.03.21	21362.8	21575.2	21282.7	21560.0	13986	0	0
2019.03.22	21567.5	21630.2	21074.6	21095.6	29574	0	0
2019.03.25	21132.7	21180.4	20823.0	21085.9	1225	0	0
2019.03.26	21083.4	21487.1	21078.3	21426.3	18730	0	0
2019.03.27	21403.6	21531.3	21197.4	21304.0	30077	0	0
2019.03.28	21281.3	21362.8	21101.2	21347.7	24548	0	0
2019.03.29	21340.1	21436.7	21278.4	21436.6	17490	0	0
2019.04.01	21511.3	21810.1	21476.2	21758.6	16721	0	0
2019.04.02	21751.5	21879.1	21595.7	21641.4	12592	0	0
2019.04.03	21638.8	21962.1	21606.0	21891.1	14072	0	0
2019.04.04	21888.5	21910.9	21789.0	21894.5	12730	0	0
2019.04.05	21897.0	21993.4	21854.1	21988.4	10541	0	0
2019.04.08	21982.6	22085.5	21832.1	21913.2	9941	0	0
2019.04.09	21915.6	21935.4	21706.1	21735.7	9136	0	0
2019.04.10	21738.2	21850.2	21659.0	21769.3	9682	0	0
2019.04.11	21766.8	21848.4	21728.7	21824.3	9659	0	0
2019.04.12	21820.4	22188.0	21796.2	22188.0	11172	0	0
2019.04.15	22187.2	22334.9	22149.4	22248.3	9084	0	0
2019.04.16	22245.7	22423.0	22228.0	22347.1	9578	0	0
2019.04.17	22339.5	22451.4	22285.2	22360.5	12720	0	0
2019.04.18	22358.0	22395.5	22152.7	22358.8	13802	0	0
2019.04.22	22287.5	22382.4	22186.6	22367.3	9723	0	0
2019.04.23	22364.8	22451.0	22210.3	22441.0	9042	0	0
2019.04.24	22443.4	22465.9	22218.3	22268.7	12798	0	0
2019.04.25	22266.1	22448.7	22237.4	22272.0	11994	0	0
2019.04.26	22229.3	22451.0	22151.3	22415.9	15684	0	0
2019.04.29	22410.0	22537.6	22410.0	22476.2	4526	0	0
2019.04.30	22463.5	22499.6	22340.4	22489.5	6535	0	0
2019.05.01	22491.9	22549.3	22247.1	22252.1	5922	0	0
2019.05.02	22239.5	22439.2	22223.3	22365.8	9524	0	0
2019.05.03	22358.2	22564.8	22285.3	22554.8	5736	0	0
2019.05.06	22222.9	22299.2	21981.8	22258.9	5379	0	0
2019.05.07	22113.5	22223.6	21584.4	21730.9	8145	0	0
2019.05.08	21728.4	21739.0	21481.6	21583.9	8642	0	0
2019.05.09	21563.8	21613.8	21131.5	21378.0	9042	0	0
2019.05.10	21349.1	21647.1	21135.0	21570.7	14316	0	0
2019.05.13	21374.5	21416.7	20824.5	20856.8	6680	0	0
2019.05.14	20851.7	21236.3	20812.7	21198.5	4361	0	0
2019.05.15	21211.0	21242.1	20926.9	21237.0	4216	0	0
2019.05.16	21234.5	21386.1	20992.4	21290.6	4234	0	0
2019.05.17	21288.1	21440.5	21189.4	21264.0	5168	0	0
2019.05.20	21263.2	21476.0	21091.9	21196.6	5147	0	0
2019.05.21	21209.1	21425.5	21193.8	21402.9	3053	0	0
2019.05.22	21400.4	21442.8	21224.1	21261.1	2578	0	0
2019.05.23	21258.6	21262.3	20846.5	20906.5	3799	0	0
